Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 0.8375, 71.10, 0.4048, 84.87 
1, 0.3508, 87.36, 0.2698, 89.83 
2, 0.2591, 90.02, 0.2323, 90.57 
3, 0.2202, 91.15, 0.2086, 91.23 
4, 0.1955, 91.98, 0.1931, 91.92 
5, 0.1800, 92.61, 0.1796, 92.37 
6, 0.1625, 93.29, 0.1770, 92.48 
7, 0.1502, 93.79, 0.1675, 92.76 
8, 0.1405, 94.24, 0.1595, 93.24 
9, 0.1312, 94.61, 0.1518, 93.68 
10, 0.1223, 95.00, 0.1547, 93.40 
11, 0.1152, 95.29, 0.1464, 93.81 
12, 0.1091, 95.57, 0.1449, 93.99 
13, 0.1039, 95.77, 0.1410, 94.23 
14, 0.1012, 95.94, 0.1452, 94.03 
15, 0.0984, 96.08, 0.1404, 94.35 
16, 0.0949, 96.18, 0.1409, 94.29 
17, 0.0906, 96.34, 0.1410, 94.41 
18, 0.0844, 96.53, 0.1370, 94.59 
19, 0.0816, 96.66, 0.1378, 94.50 
