Epoch, Average Actor Loss, Critic Loss
0, 0.1470, 15.7965
1, -0.0856, 5.3837
2, -0.2023, 8.1627
3, 0.3518, 3.0429
4, -0.4903, 8.0977
5, 0.4511, 2.8961
6, 0.4953, 11.9195
7, 0.2437, 12.4977
8, -0.9360, 9.2267
9, -0.6605, 14.8004
10, 0.1366, 12.2152
11, 0.1854, 6.1601
12, -0.6438, 12.3554
13, 0.9639, 13.8650
14, 0.3301, 11.7506
15, 0.1710, 13.0848
16, 0.1205, 10.0830
17, -0.4692, 10.1895
18, 0.3352, 3.6282
19, -0.1865, 12.2865
20, -0.7509, 12.3575
21, -0.4091, 18.5256
22, -0.5603, 14.3963
23, 0.3955, 11.5540
24, -0.8160, 11.2097
25, -0.8376, 11.4764
26, 0.2437, 13.5291
27, 0.4146, 12.8103
28, 0.2030, 10.3172
29, 0.4043, 5.9697
30, 0.9678, 12.9232
31, 0.8424, 8.0327
32, 0.7615, 15.1625
33, -0.1288, 8.1794
34, -0.0697, 13.3898
35, -0.1560, 11.7084
36, -1.3973, 15.2653
37, -1.5805, 14.7192
38, -0.6412, 8.9975
39, -0.7051, 11.8316
40, -0.3300, 15.2547
41, -1.1625, 11.9027
42, 0.4614, 16.5999
43, 0.0080, 7.0569
44, 0.3647, 14.6501
45, 0.3364, 14.0663
46, 0.3485, 8.1990
47, 0.2874, 11.6923
48, 0.3307, 10.2865
49, 0.9345, 14.1992
50, 1.1812, 14.0214
51, 0.3107, 7.8417
52, -1.0648, 14.8156
53, 0.0010, 13.0265
54, -0.2414, 8.3883
55, -0.8846, 13.8969
56, 0.6525, 11.5679
57, -0.7380, 14.2190
58, -0.8926, 10.4517
59, 0.2266, 10.4779
60, -0.0454, 11.5688
61, 0.3612, 6.3492
62, -0.4471, 12.3084
63, -0.3662, 9.1128
64, -0.1596, 14.4743
65, 0.1359, 7.9863
66, 0.3405, 7.8540
67, 0.4950, 5.7000
68, 0.3408, 10.5849
69, 0.4976, 13.1830
70, -0.7823, 14.0462
71, 0.0293, 12.8718
72, 0.4317, 11.1425
73, 0.0423, 5.6224
74, 0.2490, 11.9263
75, -0.4793, 9.7423
76, -0.7510, 14.2698
77, -0.7388, 15.9734
78, 0.4351, 10.9459
79, 0.2381, 10.3110
80, 0.2882, 6.4430
81, 0.3109, 3.2066
82, 0.4227, 5.3902
83, 0.0083, 3.2719
84, 0.2205, 11.5490
85, 0.2571, 2.8652
86, -0.0571, 5.1396
87, 0.3904, 3.5085
88, 0.4807, 16.1973
89, -0.4442, 7.0197
90, -0.9630, 12.1051
91, -0.7012, 9.7151
92, -0.7794, 13.6619
93, 0.0871, 4.3617
94, -1.8109, 13.5519
95, 0.2994, 4.2228
96, -0.1411, 11.9234
97, 0.3025, 4.9126
98, 0.0217, 15.2871
99, -0.2512, 9.1437
100, 0.4072, 9.5385
101, 0.0895, 5.4341
102, 0.1783, 10.5011
103, 0.4591, 8.4883
104, 0.4115, 5.6229
105, 0.1370, 9.2302
106, 0.4884, 3.9223
107, 0.4051, 12.2908
108, 0.7643, 9.8177
109, 0.7069, 14.7351
110, -1.1373, 9.7385
111, -0.7194, 7.3154
112, 0.0925, 6.1060
113, -0.3730, 8.3461
114, -1.0576, 11.3856
115, -0.9332, 13.0423
116, 0.4607, 3.4718
117, 0.8459, 14.0616
118, 0.9746, 8.0486
119, 0.6096, 7.0926
120, 0.5624, 3.4120
121, 0.0193, 2.9852
122, 0.5621, 8.2333
123, -0.0345, 16.4414
124, 0.0436, 4.4731
125, -0.0699, 6.1102
126, -0.3049, 9.5062
127, -1.0967, 10.9103
128, -0.5307, 12.5670
129, -1.2035, 15.1397
130, -2.2947, 15.9127
131, 0.3870, 12.7111
132, -0.3528, 8.3325
133, 0.0792, 3.3657
134, 0.1358, 7.5316
135, 0.3760, 11.6619
136, 0.4408, 10.0495
137, 0.7199, 6.7937
138, 0.5866, 8.7019
139, 0.5613, 4.1030
140, 0.6243, 9.9756
141, -0.0048, 9.8390
142, 0.2554, 8.2708
143, 0.4134, 3.8350
144, 0.3570, 10.4643
145, 0.0824, 10.3734
146, 0.3210, 7.6672
147, -0.2169, 12.0375
148, -0.2611, 4.6325
149, 0.2421, 4.8727
150, -0.3286, 7.8403
151, -0.9343, 8.8367
152, 0.0467, 7.2219
153, -1.3630, 14.9398
154, -0.1252, 7.5775
155, -1.3139, 16.6243
156, -0.1104, 10.9037
157, -0.6051, 10.7075
158, -0.0969, 11.9270
159, 0.1832, 2.8479
160, -0.8103, 17.7714
161, -0.2776, 7.6465
162, 0.3948, 9.3072
163, 0.0225, 12.0302
164, 0.3635, 8.0244
165, 0.3851, 8.3879
166, 0.5971, 5.2627
167, 0.2925, 4.5378
168, 0.5434, 4.8218
169, 0.1840, 6.4115
170, 0.5300, 5.1767
171, 0.4082, 2.7685
172, 0.3004, 4.0869
173, -0.3811, 9.3022
174, -0.8175, 8.4834
175, 0.3565, 6.7648
176, 0.3973, 4.5537
177, -0.2036, 12.2087
178, -1.4923, 9.8499
179, -0.0268, 10.4081
180, 0.3791, 1.6345
181, -0.7546, 14.0810
182, 0.3424, 4.0380
183, 0.3602, 10.4469
184, -0.2356, 8.0466
185, -1.0809, 12.6960
186, -0.5841, 7.5602
187, -0.0749, 9.9600
188, -0.0951, 12.1527
189, -0.3648, 12.5793
190, 0.6456, 13.7794
191, 0.4028, 7.0062
192, 0.9249, 10.9305
193, 0.4933, 3.3940
194, 1.6641, 15.0232
195, -0.1495, 11.8356
196, 0.6545, 4.4498
197, 0.3448, 10.6131
198, -0.0530, 8.1086
199, -1.1025, 14.3155
200, -0.4970, 10.6039
201, 0.3498, 3.2654
202, -0.1511, 8.7611
203, -0.7409, 11.6223
204, 0.0524, 5.4132
205, 0.0916, 3.5341
206, -0.5822, 11.1179
207, -1.2754, 13.2194
208, 0.1053, 3.8453
209, -0.6953, 12.0569
210, -0.0891, 5.7013
211, -1.5211, 12.7264
212, 0.0395, 8.1399
213, -0.3449, 12.4940
214, 1.1302, 11.7314
215, 0.4830, 4.5007
