Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 1.1946, 3491, 4090, 1.0864, 340, 384
200, 0.1624, 2554, 3386, 0.0779, 239, 320
400, 0.5756, 3355, 4377, 0.4839, 308, 407
600, 0.5523, 3380, 4463, 0.3836, 311, 415
800, 1.1544, 4045, 5534, 1.0483, 360, 524
1000, 1.0445, 3994, 5676, 0.7765, 336, 511
1200, 2.1802, 5567, 7955, 1.8943, 491, 734
1400, 3.2507, 7019, 10039, 2.9322, 627, 937
1600, 3.1846, 6991, 9519, 2.9304, 631, 900
1800, 3.2997, 7120, 10248, 3.0796, 655, 980
2000, 4.2299, 8478, 12287, 4.1456, 809, 1207
