Epoch, Average Actor Loss, Critic Loss
0, -0.7530, 7.6088
1, -1.9990, 21.1305
2, -1.4341, 16.9888
3, -1.0284, 12.8343
4, -0.4789, 9.3397
5, 0.0199, 6.6847
6, 0.8628, 2.6375
7, -0.1987, 10.0844
8, -0.1151, 10.6259
9, -1.5326, 22.6814
10, -1.1180, 18.1997
11, -0.0780, 13.3471
12, 0.1392, 10.7187
13, 0.9051, 6.6006
14, 1.1319, 6.7630
15, 0.6667, 7.1068
16, -0.3908, 14.0000
17, 0.8831, 4.7617
18, -0.7090, 14.6850
19, -0.4669, 14.6909
20, -0.2046, 11.9125
21, 0.4798, 6.4632
22, -0.4111, 13.8237
23, 0.2759, 9.1107
24, -0.2041, 9.8855
25, -0.4750, 9.3944
26, -0.5793, 12.6557
27, -1.3758, 19.2637
28, -0.4078, 11.3451
29, 0.6996, 5.2310
30, 0.2563, 3.1948
31, -0.1524, 4.7385
32, -0.2695, 10.6008
33, -0.1638, 8.5025
34, -0.3556, 7.0736
35, 0.5038, 5.7967
36, 0.0909, 6.0330
37, 0.0141, 6.1033
38, 0.0215, 6.4509
39, 0.1100, 1.5312
40, -0.0433, 6.6612
41, -0.1847, 8.6391
42, -0.1511, 9.1145
43, 0.1366, 6.1248
44, -0.2566, 10.0624
45, -1.2838, 17.7695
46, 0.0067, 9.1769
47, -0.5512, 10.8765
48, 0.2366, 7.4591
49, -0.2680, 7.9825
50, 0.6412, 2.8327
51, 0.1288, 1.9780
52, -0.2755, 9.8559
53, -0.5721, 9.9157
54, -0.7455, 12.1483
55, -0.2151, 7.8572
56, 0.8248, 3.2571
57, 0.2587, 8.4060
58, -0.1595, 11.2859
59, -0.0807, 7.8588
60, -0.0578, 5.0911
61, 0.0229, 7.7962
62, 0.0038, 11.5145
63, 0.7636, 5.9324
64, -0.5017, 15.3715
65, 0.5428, 6.0245
66, -0.0915, 7.1615
67, 0.2416, 6.4626
68, -0.0071, 9.3888
69, 0.3151, 3.8386
70, -0.0225, 7.3834
71, -0.8126, 11.7671
72, -0.4557, 12.7034
73, 0.0961, 2.2854
74, 0.3419, 4.8772
75, -1.1012, 15.6258
76, 0.1184, 2.3769
77, 0.0346, 7.9110
78, 0.0623, 2.6488
79, 0.2841, 0.8860
80, 0.1693, 1.7351
81, 0.2227, 0.5124
82, -0.1133, 3.7321
83, -0.0021, 2.4955
84, 0.1555, 0.5301
85, 0.1426, 1.6485
86, 0.1296, 1.0035
87, 0.1071, 0.4746
88, 0.0421, 1.1268
89, -0.1079, 2.5686
90, 0.0970, 1.0398
91, 0.0980, 0.4251
92, -0.0358, 2.1038
93, 0.0430, 1.7028
94, 0.0235, 1.5584
95, -0.0694, 1.7598
96, 0.0332, 1.3421
97, 0.1143, 1.5104
98, 0.1181, 1.3775
99, -0.0018, 1.2368
100, 0.0861, 0.5884
101, -0.0422, 2.0588
102, -0.2700, 4.8821
103, -0.2286, 3.6754
104, 0.1557, 0.4118
105, -0.0908, 2.0770
106, -0.2426, 4.4364
107, -0.3549, 7.3392
108, -0.5598, 7.7456
109, -0.2486, 8.2387
110, -0.5454, 8.5209
111, 0.0561, 5.9140
112, -0.5053, 7.1078
113, -1.0642, 13.2941
114, 0.1794, 1.5158
115, -0.0564, 7.0655
116, -0.3569, 9.0178
117, -0.4569, 6.9802
118, 0.0759, 2.4448
119, -0.0814, 3.3744
120, -0.2269, 7.9518
121, -1.1103, 16.2811
122, 0.0368, 8.2816
123, 0.4990, 2.4015
124, 0.1876, 2.2871
125, 0.3382, 4.8867
126, 0.3341, 1.9169
127, 0.2552, 2.5660
128, 0.0052, 3.2547
129, 0.2531, 1.4187
130, 0.1400, 1.7347
131, 0.2354, 3.0236
132, 0.1511, 0.9771
133, 0.1819, 1.1726
134, 0.1371, 1.2799
135, 0.0880, 1.5773
136, 0.2285, 3.2068
137, -0.0057, 6.4081
138, 0.0332, 3.4757
139, 0.1752, 1.2751
140, -0.0867, 2.1171
141, 0.1258, 0.6662
142, 0.0238, 1.8841
143, 0.1633, 0.4039
144, 0.0093, 1.8163
145, 0.0050, 1.8415
146, 0.0468, 1.0792
147, -0.0257, 2.2064
148, -0.1595, 4.1785
149, 0.1142, 0.5201
150, 0.0581, 0.7356
151, -0.1156, 2.5252
152, -0.0201, 1.7976
153, 0.1205, 1.4515
154, -0.0128, 1.4210
155, 0.1463, 0.7629
156, -0.0022, 1.4467
157, 0.0352, 2.4802
158, 0.0217, 1.2437
159, -0.0785, 2.0346
160, 0.0791, 0.6852
161, -0.6489, 8.1294
162, -0.2273, 3.3478
163, -0.0043, 1.2525
164, 0.0155, 1.8163
165, -0.0325, 1.9464
166, -0.1965, 3.7945
167, -0.0410, 2.3340
168, 0.0818, 1.3513
169, -0.2360, 4.0675
170, 0.0820, 0.8356
171, -0.3323, 7.9382
172, 0.0801, 0.9116
173, 0.0937, 0.4729
174, -0.2357, 3.8843
175, 0.0189, 1.8796
176, 0.0768, 0.5742
177, -0.0825, 2.0100
178, -0.1526, 3.1136
179, 0.1330, 0.3276
180, -0.0201, 3.8110
181, 0.1787, 1.7391
182, 0.1157, 0.4889
183, 0.0355, 0.8353
184, 0.0338, 0.9114
185, 0.0281, 0.9501
186, 0.0444, 0.8547
187, -0.2760, 4.2313
188, -0.1376, 2.9896
189, 0.0471, 0.8242
190, -0.1899, 3.5364
191, 0.0967, 0.4639
192, -0.0277, 1.5485
193, -0.1561, 3.5211
194, -0.3266, 4.7371
195, -0.0187, 1.8170
196, 0.1562, 1.0799
197, -0.1138, 3.0872
198, 0.0786, 0.8743
199, 0.0329, 1.2184
200, -0.0189, 2.4637
201, -0.0144, 1.9137
202, 0.0045, 1.4623
203, 0.0795, 1.3711
204, -0.1651, 4.2629
205, -0.2049, 4.4594
206, -0.2084, 3.7587
207, 0.1361, 1.5418
208, -0.0467, 1.8134
209, -0.0376, 1.9143
210, -0.6062, 10.5033
211, -0.2477, 4.0887
212, 0.0551, 1.9576
213, -0.2287, 9.6603
214, -0.4477, 8.9518
215, 0.1489, 1.6525
216, 0.0230, 7.4408
217, 0.2890, 3.0284
218, 0.1732, 12.6402
219, 0.2756, 1.7624
220, -0.0254, 3.3631
221, 0.0075, 3.7997
222, 0.3422, 7.2539
223, 0.0450, 6.4654
224, 0.0869, 5.9031
225, -0.2949, 4.2762
226, 0.1908, 6.0506
227, 0.1720, 1.5920
228, -0.4224, 9.3883
229, -0.0568, 6.3340
230, 0.0726, 2.2609
231, 0.0573, 1.0798
232, -0.1468, 2.9197
233, 0.0060, 1.3171
234, 0.0574, 6.2460
235, 0.0381, 1.4348
236, 0.0052, 2.8526
237, -0.0975, 2.1707
238, 0.1281, 0.9220
239, -0.0664, 1.8409
240, -0.2297, 3.4176
241, -0.2859, 5.6188
242, -1.3248, 16.6078
243, -0.7421, 9.0230
244, 0.0434, 1.1365
245, 0.0676, 2.0744
246, 0.0876, 1.0911
247, 0.0344, 1.7641
248, 0.1449, 0.8666
249, 0.1896, 1.6124
250, -0.0092, 1.8939
251, 0.1627, 0.4376
252, 0.1291, 0.5563
253, 0.1058, 1.1278
254, 0.2535, 1.6854
255, 0.1113, 0.9623
256, 0.1051, 1.1299
257, 0.1495, 0.6127
258, 0.1072, 1.0226
259, 0.1407, 0.5668
260, 0.1230, 0.8594
261, 0.0747, 0.7630
262, 0.0398, 0.9920
263, 0.0858, 0.6971
264, 0.0257, 1.3000
265, 0.0741, 0.8206
266, 0.0401, 0.8190
267, -0.2483, 3.7981
268, -0.2105, 3.3817
269, -0.0969, 1.9597
270, -0.2562, 3.7246
271, -0.2124, 3.5520
272, -0.3420, 4.9115
273, -0.0767, 2.1958
274, -0.1305, 2.4640
275, 0.0339, 1.7876
276, -0.2321, 3.7570
277, 0.1013, 0.3836
278, 0.0010, 1.8236
279, 0.0234, 1.1648
280, -0.0636, 2.7513
281, 0.0856, 2.2333
282, -0.1208, 3.2218
283, 0.1129, 0.6104
284, 0.0440, 1.4758
285, 0.0833, 0.8112
286, 0.1635, 1.2888
287, -0.0135, 3.1768
288, 0.0525, 1.2366
289, 0.0263, 1.2207
290, 0.0777, 0.9574
291, 0.1045, 0.3476
292, -0.0395, 1.3680
293, -0.1260, 2.3181
294, 0.0632, 0.9752
295, 0.0580, 0.7831
296, -0.1992, 3.0783
297, 0.0360, 1.5040
298, -0.0170, 1.2954
299, -0.0285, 1.3572
300, -0.2017, 3.3821
301, -0.1520, 5.0708
302, -0.2442, 3.8625
303, -0.9319, 11.6956
304, -0.0896, 2.5832
305, -0.0948, 2.6828
306, 0.0410, 1.9046
307, 0.1207, 3.5091
308, 0.2085, 2.8791
309, 0.1199, 1.2908
310, 0.1299, 1.6190
311, 0.1001, 2.0689
312, 0.1414, 0.7886
313, 0.1414, 0.5055
314, 0.0576, 0.9485
315, 0.0853, 0.7194
316, 0.0824, 0.8635
317, 0.1707, 0.3967
318, 0.0795, 0.6698
319, 0.0893, 0.4656
320, -0.1674, 2.7067
321, -0.0094, 1.5101
322, -0.0989, 2.0817
323, 0.0629, 0.9127
324, -0.3451, 4.3787
325, -0.0427, 1.7314
326, -0.1810, 3.3255
327, -0.0158, 1.8723
328, -0.0229, 4.0973
329, 0.0691, 1.3135
330, 0.0020, 1.0078
331, -0.0134, 1.6881
332, -0.0522, 1.6038
333, 0.0260, 0.9992
334, -0.0376, 1.8347
335, -0.0631, 1.8862
