Epoch, Average Actor Loss, Critic Loss
0, -1.0577, 12.3342
1, -1.1931, 14.1636
2, -0.6062, 9.4278
3, -0.7714, 11.3531
4, -0.0295, 7.2503
5, -0.4426, 11.4106
6, -0.3972, 15.2213
7, -0.2484, 12.9398
8, -0.1741, 15.3382
9, -0.0843, 14.7528
10, -0.0349, 14.0566
11, -0.9348, 20.5941
12, 0.1887, 2.7962
13, 0.5889, 8.7884
14, 1.0552, 7.7169
15, 0.2372, 6.3672
16, 0.1323, 7.3962
17, 0.5672, 3.5902
18, 0.0824, 3.3085
19, 0.2621, 4.4653
20, 0.0620, 3.5581
21, 0.0324, 3.9312
22, 0.7456, 3.1296
23, 0.0843, 5.2320
24, -0.0377, 3.6240
25, 0.2941, 1.8614
26, 0.0153, 2.8942
27, -0.0395, 4.3848
28, 0.0760, 1.3483
29, -0.0329, 2.1689
30, 0.0863, 2.3645
31, -0.1835, 3.7910
32, -0.1857, 4.7181
33, 0.0024, 3.5324
34, -0.3041, 5.5846
35, 0.1717, 2.0003
36, -0.2747, 6.6163
37, -0.4518, 8.4734
38, 0.1450, 3.0431
39, 0.1188, 3.1585
40, -0.1794, 3.1756
41, -0.7308, 8.5972
42, -1.3986, 15.5358
43, -1.0464, 12.8375
44, -0.2683, 7.4284
45, -0.3746, 8.7305
46, 0.1097, 5.3452
47, -0.9307, 13.9854
48, -0.3869, 10.2263
49, -0.4126, 7.6939
50, 0.7372, 2.1256
51, -0.7772, 13.2013
52, -0.2527, 5.9633
53, -0.1309, 5.5041
54, -0.0969, 7.8623
55, 0.2195, 5.5143
56, -0.7246, 13.5768
57, 0.2191, 6.7639
58, 0.0498, 2.4812
59, -0.7469, 12.3467
60, 0.5588, 8.6879
61, 0.1021, 8.3415
62, 0.8921, 4.5768
63, 0.0485, 2.3668
64, 0.1946, 1.9552
65, 0.0158, 7.8432
66, 0.1477, 3.8324
67, -0.0695, 5.0656
68, 0.0335, 3.3646
69, 0.0813, 2.3451
70, 0.2588, 1.3549
71, 0.0961, 5.8946
72, 0.2361, 0.5070
73, 0.1317, 0.5484
74, 0.0904, 2.8417
75, -0.0378, 3.8942
76, 0.0467, 2.3520
77, -0.0110, 2.3364
78, 0.0671, 2.3393
79, -0.6959, 11.8076
80, 0.1713, 1.4926
81, 0.1794, 1.9907
82, 0.1431, 1.1549
83, 0.1725, 2.2518
84, -0.0761, 6.1348
85, 0.1355, 0.5926
86, 0.0992, 1.3611
87, 0.1950, 0.6423
88, -0.0449, 3.3281
89, 0.0570, 3.0599
90, 0.0870, 1.2282
91, 0.0064, 1.4667
92, -0.0234, 1.4594
93, 0.1640, 0.7183
94, -0.0197, 2.3754
95, 0.0770, 0.7417
96, -0.2615, 3.8146
97, 0.0587, 0.6980
98, -0.0384, 1.6479
99, -0.0023, 1.7474
100, -0.3206, 6.1563
101, -0.2373, 3.7486
102, -0.0723, 2.5305
103, -0.2642, 4.9336
104, -0.0586, 2.1729
105, 0.1264, 5.9933
106, 0.0662, 0.7985
107, -0.0398, 1.6234
108, -0.2478, 5.0343
109, 0.0754, 0.5022
110, -0.2445, 8.0128
111, -0.0120, 2.1420
112, -0.4231, 7.5856
113, -0.3616, 5.5708
114, 0.1056, 0.9936
115, 0.0670, 0.9282
116, 0.1227, 1.4514
117, 0.0062, 2.6436
118, -0.0120, 2.5061
119, -0.0186, 1.6729
120, 0.1641, 0.4005
121, 0.0903, 0.5980
122, 0.0401, 1.4290
123, -0.0418, 1.7437
124, 0.0802, 1.1761
125, -0.1990, 3.3265
126, 0.0512, 0.9393
127, -0.1297, 3.1478
128, -0.0650, 2.5566
129, 0.0621, 1.1083
130, -0.3437, 6.0640
131, 0.0259, 1.9713
132, 0.0642, 1.2226
133, 0.1281, 0.6490
134, 0.0496, 1.4893
135, 0.0631, 0.6953
136, -0.1033, 2.4254
137, 0.0933, 0.4965
138, 0.1661, 1.0142
139, -0.1241, 3.4309
140, 0.0270, 2.1601
141, -0.0880, 2.7165
142, -0.0249, 1.6734
143, 0.0189, 0.9367
144, -0.0368, 2.1237
145, 0.0740, 1.2978
146, -0.1862, 4.9130
147, 0.0114, 1.8120
148, 0.1117, 0.6818
149, -0.0106, 1.8058
150, 0.1215, 0.2884
151, -0.0199, 1.6024
152, -0.0370, 3.0472
153, 0.0675, 0.6622
154, 0.0659, 0.4568
155, -0.2676, 5.4583
156, -0.1128, 2.2069
157, -0.0017, 1.6949
158, -0.0008, 1.5064
159, 0.0646, 1.2276
160, -0.0200, 1.5728
161, -0.0716, 3.2262
162, -0.0453, 2.3610
163, -0.0051, 1.3204
164, 0.3806, 2.4761
165, -0.0029, 1.7749
166, -0.1905, 3.4004
167, 0.0694, 0.3634
168, -0.0823, 1.9520
169, 0.0353, 1.0126
170, -0.0563, 2.1369
