Epoch, Average Actor Loss, Critic Loss
0, -0.6092, 7.4634
1, -1.1800, 12.6513
2, -1.4164, 15.4401
3, 0.1339, 3.0511
4, -0.8642, 11.9893
5, 0.1052, 5.9227
6, 0.0516, 6.7840
7, -0.5167, 11.8611
8, -0.9624, 15.4690
9, -1.4683, 20.7875
10, -1.1857, 19.0952
11, 0.6199, 9.2079
12, 0.0490, 11.6835
13, 0.7661, 4.8669
14, 1.6269, 2.9108
15, 0.5518, 7.2699
16, 0.4481, 9.6657
17, 0.8362, 5.8308
18, -0.0781, 10.2863
19, -0.5558, 13.0730
20, -0.0101, 9.4590
21, 0.6248, 4.1478
22, 0.4578, 5.3581
23, 0.2506, 7.0820
24, 0.6777, 1.9861
25, -0.7166, 12.6043
26, -0.5523, 10.4198
27, -1.6604, 20.3412
28, -0.5337, 10.5490
29, 0.6834, 2.2493
30, 0.3592, 3.3838
31, -0.7839, 12.6998
32, -1.9020, 22.0589
33, -0.5237, 11.4483
34, -0.6384, 12.5820
35, -0.2551, 8.7484
36, -0.9874, 15.9484
37, -0.8059, 14.5913
38, -0.7695, 14.9765
39, -0.5671, 13.6391
40, -0.2811, 10.3565
41, -0.4166, 10.8038
42, 0.2434, 8.0069
43, -0.4653, 12.9810
44, -1.0382, 18.8458
45, -1.0333, 17.9954
46, 0.6913, 5.3357
47, -0.3466, 14.0162
48, -0.1454, 13.2519
49, 0.4585, 9.7421
50, 1.2464, 6.3833
51, 0.6672, 10.3894
52, -0.4939, 16.1891
53, 0.2770, 12.5664
54, -0.5008, 16.5692
55, -0.3979, 15.6902
56, 1.2293, 4.5992
57, 0.0311, 12.9103
58, -0.4034, 16.3372
59, -0.2073, 11.7755
60, 0.4441, 5.6920
61, 0.9332, 5.9153
62, 0.4516, 8.4062
63, 0.1300, 7.1431
64, -0.9240, 17.1158
65, 0.1835, 8.2361
66, -0.1666, 9.8530
67, 0.4998, 3.2987
68, -0.3316, 9.4069
69, 0.2584, 3.3491
70, -0.2839, 10.5674
71, -0.1725, 7.7479
72, 0.4323, 1.5975
73, 0.0018, 6.6678
74, -0.6392, 11.9886
75, -0.9647, 14.0117
76, -0.0534, 7.4022
77, 0.1987, 3.8847
78, -0.9941, 14.7501
79, 0.1433, 4.9583
80, -0.4879, 10.0249
81, -0.0473, 7.8143
82, -0.8295, 14.2244
83, -0.7632, 14.7456
84, 0.4471, 5.5660
85, -0.8565, 13.7498
86, -0.0998, 10.7477
87, -0.1123, 8.2717
88, -0.2766, 11.7529
89, -0.4626, 12.1673
90, 0.3515, 7.8231
91, 0.1080, 7.1557
92, 0.0306, 6.9390
93, -0.1994, 10.5231
94, -0.4143, 12.4325
95, -0.0630, 7.1216
96, -0.0262, 11.3180
97, 0.1833, 10.5671
98, 0.1608, 9.9453
99, 0.1838, 8.9332
100, 0.8174, 4.7232
101, 0.0982, 9.8850
102, 0.3400, 4.3551
103, -0.5052, 13.0806
104, 0.9791, 2.8262
105, -0.7006, 15.9793
106, 0.1552, 8.2423
107, -0.3740, 13.2963
108, -1.9910, 23.6838
109, 0.2104, 9.0148
110, 0.2302, 9.2340
111, -1.0762, 19.3335
112, -0.7053, 15.3133
113, 0.4774, 4.1707
114, -0.0637, 9.9299
115, -0.0264, 10.1389
116, 0.4510, 4.7299
117, -0.4016, 12.3448
118, -0.1482, 11.5930
119, 0.3801, 4.3169
120, 0.4687, 3.5522
121, -1.4024, 21.6663
122, -0.6920, 15.7125
123, 0.7502, 6.7947
124, -0.4955, 14.6873
125, 0.3349, 6.9293
126, 0.5572, 4.8477
127, 0.7523, 4.8335
128, -0.1943, 12.2278
129, 0.1906, 9.8117
130, 0.2044, 5.4406
131, 0.7670, 4.1879
132, 0.2066, 6.1827
133, 0.2092, 8.1098
134, -0.1684, 9.8543
135, -0.4726, 10.9484
136, -0.2651, 8.8504
137, -0.3655, 9.6413
138, -1.0892, 15.1698
139, 0.3788, 2.2649
140, -1.1117, 14.8864
141, 0.1613, 6.0410
142, -0.0000, 9.5870
143, -0.2421, 10.9975
144, -0.6492, 12.8883
145, 0.4998, 1.4954
146, -0.9090, 14.9637
147, -0.6739, 15.1897
148, -1.2539, 19.6671
149, 0.4170, 6.7281
150, -0.1242, 8.9141
151, -0.8654, 17.0193
152, -0.1614, 13.9632
153, 0.7630, 11.3031
154, 0.2613, 11.2679
155, 1.5565, 5.5599
156, -0.3781, 15.5898
157, 0.2696, 10.6363
158, 0.1169, 8.1621
159, 0.1825, 10.1386
160, 0.9109, 5.2216
161, -0.0365, 11.8296
162, -0.4472, 11.9831
163, 1.0055, 2.9671
164, 0.0308, 9.0062
165, -0.6043, 12.6795
166, -0.1812, 11.0520
167, 0.1087, 8.7065
168, -0.1345, 7.8682
169, -0.9903, 16.3161
170, -0.0034, 8.3926
171, 0.2424, 7.7469
172, -0.0134, 8.4803
173, 0.1041, 6.0511
174, -0.2548, 10.8528
175, 0.1219, 6.3662
176, -0.0864, 9.4851
177, -0.8598, 14.1240
178, -0.8549, 15.1919
179, 0.5372, 3.1582
180, -0.2639, 9.4258
181, -0.0296, 7.0241
182, 0.2804, 7.8773
183, -1.4371, 21.7235
184, 0.1037, 8.0691
185, -0.1270, 10.2011
186, 0.3943, 5.8566
187, -1.1861, 18.8808
188, -0.1097, 9.3820
189, 0.4089, 3.1494
190, 0.3254, 3.7978
191, 0.0627, 8.8493
192, 0.3342, 3.9009
193, -0.1711, 12.7591
194, -0.2686, 12.1311
195, 0.2125, 8.0809
196, 0.6939, 6.9356
197, -0.1145, 8.1912
198, 0.6112, 1.1500
199, -0.1711, 9.9489
200, 0.4491, 2.1693
201, -0.1697, 13.8881
202, 0.4294, 2.4415
203, -0.5275, 15.3016
204, -0.0170, 6.2072
205, -0.7271, 13.6953
206, -0.8992, 13.2569
207, -0.2665, 12.2385
208, -0.8829, 15.1454
209, -0.6414, 13.0610
210, -0.2299, 13.6840
211, -1.7265, 25.4784
212, -0.2149, 11.1372
213, -0.4846, 14.7998
214, -0.0886, 13.5602
215, 0.5822, 2.7924
216, 0.4869, 5.9541
217, 1.2411, 9.3582
218, 0.1364, 15.2114
219, 0.2396, 4.2974
220, 0.7686, 3.3241
221, -0.5813, 17.4623
222, 0.1665, 11.5942
223, -0.4595, 17.1335
224, 0.4933, 3.4491
225, -1.2845, 21.7271
226, 0.6535, 2.1124
227, 0.0263, 9.5170
228, -0.2131, 9.5729
229, 0.3914, 2.7568
230, -0.3204, 12.7316
231, -0.5250, 12.3391
232, -0.1685, 9.7432
233, 0.3373, 3.2933
234, 0.0192, 11.1019
235, 0.2931, 5.9230
236, 0.0589, 7.8687
237, 0.0866, 4.5540
238, 0.7400, 2.7054
239, 0.3498, 2.6625
240, -0.4557, 11.2552
241, 0.0252, 6.8754
242, -1.3836, 24.4611
243, -0.3490, 13.6118
244, -0.7979, 14.0930
245, -0.1778, 8.7012
246, 0.4314, 2.8333
247, -0.1723, 9.7729
248, -0.3241, 14.7268
249, -0.1182, 11.3910
250, -0.4731, 12.7135
251, 0.5931, 2.5239
252, -0.3465, 14.3593
253, 0.3682, 4.9916
254, 0.5462, 4.6009
255, 0.1424, 14.1703
256, -1.7707, 23.7497
257, 0.3183, 10.4244
258, -0.2697, 13.0670
259, 0.3175, 5.0411
260, 0.1358, 11.4511
261, 0.6105, 4.9513
262, 0.2391, 5.5751
263, 0.5718, 5.3905
264, -0.6669, 16.4035
265, -0.4170, 9.6467
266, 0.3452, 10.0780
267, -0.8441, 13.6336
268, -1.3939, 18.2544
269, -0.2893, 11.7474
270, -1.0570, 14.9184
271, -1.2851, 20.5283
272, -0.0834, 10.4180
273, 0.3011, 13.5126
274, 0.9709, 9.3158
275, 0.6753, 13.1656
276, -0.7867, 19.9461
277, 1.1239, 9.2008
278, 0.7306, 13.0742
279, 0.2462, 5.7512
280, 0.4885, 5.6308
281, 0.4596, 12.0931
282, 0.0730, 11.1038
283, 0.5055, 3.5762
284, 0.3656, 8.9172
285, -1.2035, 18.2962
286, 0.4714, 5.6886
287, 0.4054, 3.9027
288, -1.1827, 14.9376
289, -1.1476, 14.8733
290, -0.3606, 7.9537
291, -0.8324, 12.1322
292, -0.9274, 12.3240
293, -1.0985, 15.2984
294, -0.4303, 12.5668
295, 0.3526, 10.7217
296, -0.3138, 11.6676
297, 0.3357, 9.4263
298, 0.4580, 12.9226
299, 0.6272, 10.5759
300, 0.7334, 10.3054
301, 0.5058, 9.6001
302, -0.9233, 16.7258
303, 0.0938, 5.2709
304, 0.1060, 13.9062
305, -1.5212, 20.5398
306, 0.5690, 6.7981
307, 0.4551, 5.3793
308, -0.2829, 13.5120
309, -0.5879, 15.2810
310, -0.5609, 14.1711
311, -0.4125, 12.1014
312, 0.4817, 6.8064
313, -0.0216, 11.5694
314, -0.0306, 8.2862
315, -0.1366, 9.0962
316, -0.5740, 13.0173
317, 0.6833, 6.6764
318, 0.5805, 6.9280
319, 0.4887, 3.0725
320, 0.5104, 1.8605
321, -0.0490, 7.6016
322, 0.2960, 3.7591
323, 0.2598, 3.3535
324, 0.2273, 3.0689
325, 0.1825, 3.8252
326, -0.8499, 13.2292
327, -1.5898, 17.3752
328, -0.1134, 5.6893
329, -0.4110, 8.5645
330, -0.3348, 7.4652
331, 0.2274, 3.6036
332, -0.8471, 11.3461
333, -0.4346, 9.6716
334, -1.4807, 19.4245
335, -0.0230, 10.3105
336, -0.1903, 14.8370
337, 0.5789, 7.1669
338, 0.1583, 6.1721
339, -0.3913, 14.8552
340, 0.2776, 5.5707
341, 0.4593, 4.6231
342, 0.1955, 9.4073
343, 0.4427, 12.5105
344, -0.2072, 10.4554
345, 0.0731, 8.8989
346, -0.2148, 12.5980
347, -1.0665, 14.3946
348, -0.4634, 15.7617
349, -0.1453, 14.0634
350, 0.4121, 2.5152
351, -0.2725, 12.6153
352, -0.3074, 11.6468
353, -1.1926, 18.3163
354, 0.0292, 10.6811
355, -0.0362, 13.9131
356, 0.6521, 10.7114
357, 0.9308, 9.0249
358, 0.5214, 6.7171
359, 0.3568, 10.2675
360, -1.0581, 14.0721
361, -0.5356, 14.4250
362, 1.0216, 11.5632
363, 0.2224, 12.1406
364, -0.1072, 16.3306
365, 0.5965, 13.2673
366, -0.8671, 12.9299
367, -0.7593, 12.7332
368, 0.3698, 5.5757
369, 0.0143, 11.0851
370, -0.7302, 12.6382
371, -0.6447, 12.5185
372, -0.4705, 15.5082
373, -0.5292, 14.4300
374, 0.5078, 3.7561
375, 0.1032, 10.1935
376, -0.1860, 11.8737
377, -0.9944, 15.7899
378, 0.3670, 8.1043
379, -0.6705, 17.6934
380, -0.2373, 18.4310
381, -0.0747, 8.6631
382, -0.1262, 9.3876
383, -0.3508, 14.6647
384, 0.1130, 7.4940
385, 0.8717, 15.4377
386, 0.4482, 13.3877
387, 0.6299, 10.2915
388, 1.1213, 5.6459
389, 0.6037, 4.0574
390, 0.5217, 1.2383
391, 0.4473, 6.0495
392, 0.2001, 4.5994
393, 0.1267, 5.4837
394, -0.0176, 7.5427
