Epoch, Average Actor Loss, Critic Loss
0, -0.9776, 11.9554
1, -0.6071, 10.1822
2, -1.1895, 16.4339
3, -0.0892, 8.0724
4, -0.0418, 8.4600
5, -0.3294, 12.6772
6, -1.0632, 18.4350
7, 0.4908, 5.3951
8, 0.3413, 10.5300
9, 0.7269, 7.8273
10, 0.0808, 10.6940
11, -0.2442, 13.1689
12, 0.9729, 4.9414
13, -0.6857, 15.7820
14, -0.2225, 12.6088
15, 0.5641, 7.2467
16, -1.2160, 18.6802
17, 0.0745, 9.5218
18, -0.6654, 16.0215
19, 0.2248, 8.1681
20, -0.7547, 13.8013
21, -1.0651, 17.4188
22, -0.0428, 12.2213
23, 0.7226, 6.5007
24, -0.1233, 10.2232
25, 0.9737, 3.0439
26, 0.0257, 11.1399
27, 0.5901, 7.3682
28, 0.0845, 10.2609
29, 0.6330, 4.6766
30, 0.0059, 8.6494
31, -0.2176, 10.4324
32, 0.1950, 6.3382
33, 0.4204, 5.1796
34, -0.6938, 14.0099
35, -0.2943, 9.9498
36, -1.3700, 19.9920
37, -0.9809, 15.6672
38, 0.1569, 6.6154
39, 0.1927, 6.4034
40, -0.0210, 8.2506
41, -1.4582, 19.8746
42, 0.3627, 4.7081
43, -1.2970, 18.1705
44, -0.2094, 8.9402
45, 0.3354, 6.9893
46, 0.4561, 4.4723
47, -1.3391, 19.4314
48, -1.9696, 24.5506
49, 0.2953, 8.4646
50, 1.1295, 3.2900
51, -0.7098, 16.6659
52, 0.4615, 8.3891
53, -0.4694, 13.8764
54, 0.5221, 9.2116
55, 0.8523, 6.5588
56, -0.6038, 14.8764
57, -0.6825, 16.4643
58, -0.0120, 11.3973
59, -1.4694, 21.0158
60, -0.0945, 12.7905
61, 0.1712, 10.7844
62, 0.8378, 8.7377
63, -0.2850, 13.3664
64, 0.1527, 10.0986
65, 0.7011, 8.8145
66, -0.2598, 13.1818
67, -0.3455, 14.4765
68, 0.0110, 11.9017
69, -1.2799, 20.2261
70, 0.1360, 11.7961
71, 0.3802, 11.6889
72, 1.1844, 5.7149
73, 0.7470, 2.7624
74, -1.3991, 21.0917
75, -0.4817, 13.7819
76, 0.2274, 9.8984
77, -0.6429, 16.3558
78, 0.6672, 7.6258
79, -0.5262, 15.0630
80, 0.0434, 10.9651
81, -0.4389, 15.0949
82, 0.9730, 4.9246
83, 0.2908, 10.5262
84, -0.3014, 13.0148
85, 0.1441, 9.3274
86, 0.6159, 7.1820
87, 0.8905, 5.2690
88, -0.0716, 11.2638
89, -0.2606, 10.8460
90, 0.1302, 7.9638
91, -0.6994, 13.2997
92, -1.8592, 22.0984
93, 0.5560, 4.9700
94, 0.0999, 6.6851
95, -0.7097, 13.7411
96, -1.3151, 18.3926
97, 0.6468, 4.4804
98, -0.1236, 9.0966
99, 0.2304, 7.4579
100, -0.5469, 13.5871
101, -2.1998, 24.8552
102, -0.0259, 10.5353
103, 0.4448, 8.4520
104, 0.4392, 4.7728
105, -0.0147, 11.8928
106, 0.4318, 8.7557
107, -0.6913, 15.3262
108, 0.2894, 11.3134
109, 1.1605, 1.8895
110, -1.8794, 23.7991
111, -0.0976, 11.1321
112, -0.4711, 14.4296
113, -0.2330, 13.9906
114, -0.0925, 12.2227
115, 0.1220, 11.3063
116, 0.7738, 10.7349
117, 1.3208, 7.4193
118, 0.5586, 2.5536
119, -0.6624, 14.6485
120, 0.8064, 3.6466
121, 0.5050, 4.4827
122, 0.0974, 7.5422
123, 0.0393, 6.3516
124, 0.1803, 5.2894
125, -0.8171, 13.0511
126, -0.1329, 8.3225
127, -1.1123, 16.1448
128, -0.4845, 9.9469
129, -0.3781, 11.6955
130, -0.7737, 13.0009
