Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 1.1946, 3491, 4090, 1.0864, 340, 384
200, 0.1551, 2972, 3556, -0.0416, 264, 319
400, 0.3944, 3599, 4349, 0.2678, 341, 409
600, 0.4830, 3542, 4601, 0.3938, 336, 434
800, -0.2266, 3011, 3696, -0.4661, 260, 323
1000, 0.3567, 3613, 4846, 0.1597, 317, 444
1200, 1.0199, 4689, 6157, 0.7502, 419, 563
1400, 1.7775, 6162, 7733, 1.5891, 568, 735
1600, 1.8230, 6033, 8052, 1.5813, 540, 749
1800, 3.1853, 8615, 10648, 3.0735, 815, 1044
2000, 3.8908, 9212, 11940, 3.7165, 892, 1160
