Epoch, Average Actor Loss, Critic Loss
0, -0.8903, 7.2798
1, -1.2059, 11.9573
2, -1.2088, 13.4465
3, -1.0304, 12.7235
4, -0.9513, 12.0321
5, -0.5758, 11.0027
6, -0.0597, 6.7708
7, 0.1969, 7.1697
8, 0.2005, 6.2474
9, -1.9304, 24.7603
10, -0.3618, 11.6639
11, 0.8463, 8.2561
12, 0.0460, 12.1231
13, 0.7111, 6.3944
14, 1.2936, 5.8555
15, 0.2887, 4.0860
16, 0.0769, 5.3586
17, 0.2829, 5.7611
18, 0.0865, 2.2378
19, -0.0788, 8.1610
20, -0.3975, 7.0993
21, 0.1141, 4.0295
22, -0.1713, 5.2282
23, -0.3313, 9.4457
24, 0.2766, 1.1088
25, -0.0168, 2.7025
26, 0.0993, 6.6113
27, -0.2408, 6.0361
28, -0.0115, 2.2127
29, 0.3795, 2.1941
30, -0.1125, 3.8473
31, 0.0362, 1.1646
32, -0.3853, 6.5875
33, -0.3095, 5.4383
34, -0.3876, 5.2988
35, 0.1241, 1.9339
36, -0.0576, 3.5119
37, -0.0856, 6.0062
38, 0.0838, 4.5528
39, 0.0433, 1.2031
40, -0.0144, 1.7548
41, -0.0605, 2.0981
42, 0.2182, 1.3838
43, 0.0744, 4.5444
44, -0.1196, 2.6964
45, -0.5790, 7.9701
46, -0.0297, 2.2500
47, -0.1455, 4.9299
48, -0.3630, 7.7041
49, -0.0121, 1.4271
50, 0.0897, 3.7129
51, 0.0459, 1.4300
52, -0.0913, 2.0818
53, -0.2152, 3.8929
54, -1.5682, 17.2909
55, -0.2684, 11.0794
56, 0.3580, 1.7695
57, -0.2822, 9.1957
58, -0.0761, 2.9090
59, 0.2653, 3.8141
60, 0.0406, 1.7288
61, -0.2422, 6.7045
62, 0.1186, 2.4245
63, 0.2256, 2.0797
64, -0.3051, 7.0527
65, 0.1965, 1.1489
66, 0.1127, 1.2490
67, 0.0631, 2.2626
68, 0.0994, 0.9086
69, 0.0461, 1.9166
70, 0.0929, 0.6530
71, 0.1166, 0.4857
72, 0.2080, 0.5011
73, 0.0900, 0.2924
74, 0.0742, 0.4240
75, -0.0270, 1.4250
76, 0.0640, 1.0800
77, 0.0590, 0.3198
78, 0.0036, 1.1648
79, 0.0604, 0.5063
80, -0.0032, 1.1280
81, 0.0652, 0.4144
82, 0.0112, 1.1162
83, 0.0483, 0.5601
84, 0.0384, 0.5622
85, -0.0680, 1.5500
86, 0.0231, 0.9470
87, 0.0531, 0.3805
88, -0.0059, 1.2824
89, -0.0193, 1.3660
90, 0.1037, 0.3913
91, 0.0543, 0.2872
92, 0.0335, 0.4107
93, 0.0587, 0.3305
94, -0.0722, 1.6299
95, -0.0072, 0.7606
