Epoch, Average Actor Loss, Critic Loss
0, -1.1757, 11.0753
1, -1.7726, 18.7348
2, -0.8509, 11.4047
3, -0.0318, 6.8738
4, 0.1898, 5.4965
5, -0.5040, 11.9989
6, -0.3761, 11.0530
7, -0.7874, 14.5139
8, 0.9409, 6.2441
9, 0.3077, 9.5642
10, -0.4038, 13.0413
11, -0.1785, 12.9779
12, 0.3812, 10.9157
13, -0.0672, 7.8291
14, 0.5923, 5.6730
15, -0.2546, 7.3273
16, -0.3801, 8.6750
17, -0.0141, 8.9321
18, 0.4775, 5.4686
19, 0.1362, 3.4769
20, 0.0579, 2.1772
21, -0.0117, 2.6050
22, 0.1994, 4.4997
23, 0.2624, 4.6285
24, -0.1170, 3.1989
25, 0.0961, 3.4756
26, 0.1102, 0.5350
27, 0.0438, 1.3222
28, 0.1862, 0.2914
29, 0.0480, 1.1574
30, 0.0759, 0.6489
31, 0.0680, 0.6967
32, 0.1936, 0.8674
33, 0.0171, 0.8963
34, -0.0183, 1.0744
35, -0.0167, 2.1162
36, 0.0209, 1.3931
37, 0.0262, 1.1328
38, 0.0125, 0.5082
39, -0.0515, 1.2307
40, -0.0960, 1.4293
41, -0.6968, 7.4878
42, -0.3420, 4.1747
43, -0.1293, 2.2189
44, -0.0728, 1.7689
45, -0.0908, 2.1327
46, -0.2336, 3.5139
47, -0.4803, 6.6366
48, 0.0037, 1.3643
49, -0.0690, 4.8572
50, 0.0398, 2.1475
51, -0.5105, 6.9678
52, 0.1269, 1.1743
53, -0.1540, 3.2917
54, -0.0654, 2.7425
55, -0.0316, 4.4222
56, -0.2291, 6.0526
57, -0.0770, 3.2963
58, -0.4551, 7.3918
59, -0.7104, 9.0623
60, 0.0092, 2.9830
61, 0.1429, 2.2698
62, 0.0892, 3.7223
63, 0.1089, 1.7320
64, 0.1511, 3.7801
65, 0.5431, 2.4047
66, 0.2008, 0.7613
67, -0.0083, 2.2775
68, 0.0355, 1.4238
69, 0.0010, 2.3939
70, 0.0710, 1.0160
71, 0.0722, 1.5759
72, 0.2353, 0.7125
73, 0.0353, 1.5465
74, -0.0250, 1.9839
75, 0.1180, 1.1207
76, 0.0120, 1.2393
77, 0.0393, 1.0022
78, 0.1052, 0.8969
79, -0.0703, 1.9467
80, 0.0321, 0.8507
81, 0.0667, 0.7465
82, 0.0688, 0.7166
83, 0.0575, 0.6250
84, -0.0526, 1.3251
85, 0.0003, 1.0668
86, 0.0028, 1.3105
87, 0.1034, 0.4286
88, 0.0112, 0.6389
89, -0.2142, 3.2525
90, 0.0537, 0.7160
91, -0.0806, 2.2496
92, -0.6714, 8.1852
93, -0.0966, 5.2947
94, 0.0711, 0.8321
95, 0.0380, 0.5538
96, -0.0568, 1.2461
97, -0.0615, 1.5992
98, -0.1165, 2.1636
99, 0.0307, 0.8281
100, -0.0167, 1.0270
101, -0.1299, 1.8373
102, 0.0639, 0.9848
103, -0.0319, 1.1817
104, -0.1743, 3.1760
105, 0.0253, 1.2451
106, -0.0507, 1.5541
107, -0.1554, 3.8252
108, -0.1447, 4.7053
109, 0.0597, 0.6754
110, -0.0983, 2.0201
111, -0.0857, 2.4689
112, -0.1759, 3.8368
113, -0.0153, 0.9911
114, -0.0684, 1.7680
115, 0.0392, 0.8699
116, 0.0483, 0.9477
117, 0.0665, 0.6295
118, 0.0318, 1.5064
119, -0.0328, 1.1886
120, 0.0818, 0.2853
121, 0.0311, 0.7402
122, -0.0662, 1.7281
123, -0.0947, 2.2005
124, 0.0798, 0.9634
125, -0.0871, 2.0919
126, 0.0495, 0.7857
127, -0.0012, 1.2552
128, 0.0008, 1.3664
129, 0.0253, 1.0402
130, -0.0194, 1.5973
131, 0.0585, 1.0558
132, -0.0735, 1.9169
133, 0.0599, 0.6782
134, 0.0506, 0.4719
135, -0.0644, 1.4565
136, -0.3113, 4.6559
137, 0.0864, 0.3438
138, 0.0738, 0.7095
139, -0.0031, 1.1131
140, 0.0742, 0.5956
141, 0.0581, 0.3679
142, 0.0193, 0.9270
143, 0.0506, 0.4825
144, -0.0489, 1.7008
145, 0.0609, 0.3722
146, -0.0444, 1.4185
147, -0.0592, 1.6748
148, 0.0453, 0.6336
149, -0.0147, 1.0848
150, 0.0718, 0.2113
151, 0.0304, 0.4185
152, 0.0461, 0.5341
153, 0.0347, 0.6040
154, 0.0818, 0.4897
155, -0.0186, 1.3833
156, -0.0771, 1.5521
157, -0.0457, 1.0126
158, -0.0096, 0.9780
159, -0.0028, 1.2602
160, -0.0047, 0.6623
161, -0.0803, 1.6665
162, 0.0322, 0.4569
163, -0.0102, 0.7291
164, -0.0095, 0.8646
165, -0.0762, 2.0314
166, -0.0475, 0.9534
167, 0.0203, 0.3786
168, -0.2430, 3.0825
169, -0.0260, 0.8751
170, -0.0640, 1.4079
171, -0.0035, 0.7346
172, -0.2523, 3.6651
173, 0.0256, 0.8999
174, -0.0495, 2.1737
175, -0.0083, 0.9812
176, -0.5018, 7.5932
177, -0.1282, 5.0174
178, -0.0554, 5.1527
179, 0.1045, 3.8584
180, -0.0190, 2.5253
181, 0.1373, 2.5353
182, -0.0489, 1.8330
183, 0.0591, 0.8883
184, -0.0593, 2.0420
185, -0.2870, 4.7825
186, 0.0259, 1.0934
187, 0.1037, 0.7715
188, 0.1027, 1.1254
189, 0.0393, 0.8457
190, 0.0815, 0.5556
191, 0.0108, 1.4863
192, -0.0260, 1.2671
193, 0.0639, 1.0746
194, -0.0550, 1.5047
195, 0.0435, 0.5733
196, -0.0147, 1.3589
197, -0.0210, 1.5009
