Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.5631, 40.87, 1.5202, 41.27 
1, 1.4149, 48.87, 1.2667, 60.52 
2, 1.1348, 64.81, 1.0177, 67.92 
3, 0.9363, 70.41, 0.8634, 71.79 
4, 0.7983, 74.23, 0.7468, 75.30 
5, 0.6836, 77.32, 0.6429, 77.96 
6, 0.5837, 80.40, 0.5687, 80.30 
7, 0.5235, 82.29, 0.5554, 81.37 
8, 0.4715, 84.15, 0.5292, 82.31 
9, 0.4281, 85.48, 0.4692, 83.77 
10, 0.3934, 86.48, 0.4131, 85.05 
11, 0.3658, 87.40, 0.3598, 86.75 
12, 0.3407, 88.37, 0.3357, 87.86 
13, 0.3204, 88.87, 0.3243, 88.25 
14, 0.3018, 89.55, 0.3170, 88.34 
15, 0.2864, 89.94, 0.3092, 88.57 
16, 0.2731, 90.38, 0.3036, 88.75 
17, 0.2612, 90.76, 0.2984, 88.91 
18, 0.2515, 91.13, 0.2947, 88.94 
19, 0.2424, 91.38, 0.2916, 88.98 
20, 0.2332, 91.64, 0.2898, 88.98 
21, 0.2247, 91.93, 0.2879, 89.17 
22, 0.2173, 92.16, 0.2861, 89.21 
23, 0.2103, 92.37, 0.2818, 89.36 
24, 0.2041, 92.54, 0.2797, 89.40 
25, 0.1982, 92.76, 0.2774, 89.45 
26, 0.1924, 92.98, 0.2764, 89.49 
27, 0.1870, 93.17, 0.2739, 89.55 
28, 0.1811, 93.30, 0.2729, 89.60 
29, 0.1767, 93.53, 0.2715, 89.75 
30, 0.1718, 93.70, 0.2700, 89.78 
31, 0.1670, 93.87, 0.2663, 89.89 
32, 0.1625, 94.05, 0.2636, 89.94 
33, 0.1579, 94.29, 0.2635, 90.01 
34, 0.1536, 94.37, 0.2603, 90.03 
35, 0.1491, 94.55, 0.2611, 90.17 
36, 0.1474, 94.66, 0.2588, 90.19 
37, 0.1419, 94.90, 0.2555, 90.21 
38, 0.1444, 94.83, 0.2580, 90.19 
39, 0.1338, 95.28, 0.2543, 90.36 
40, 0.1316, 95.31, 0.2573, 90.35 
41, 0.1270, 95.53, 0.2559, 90.34 
42, 0.1230, 95.69, 0.2478, 90.66 
43, 0.1205, 95.78, 0.2469, 90.66 
44, 0.1182, 95.89, 0.2562, 90.53 
45, 0.1134, 96.17, 0.2508, 90.61 
46, 0.1105, 96.36, 0.2548, 90.59 
47, 0.1128, 96.23, 0.2457, 90.73 
48, 0.1492, 95.58, 0.2531, 90.63 
49, 0.1012, 96.76, 0.2630, 90.65 
