Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 0.3352, 1674, 1813, 0.3473, 171, 187
200, 0.6713, 1918, 1993, 0.6536, 190, 196
400, 0.9483, 2643, 2930, 0.9163, 260, 288
600, 1.0705, 2736, 3718, 1.0284, 276, 367
800, 1.3582, 3066, 4054, 1.2741, 297, 387
1000, 1.4165, 3081, 4280, 1.3897, 307, 421
1200, 1.3664, 3118, 4459, 1.2978, 305, 427
1400, 1.5298, 3172, 4529, 1.4517, 312, 436
1600, 1.5213, 3236, 4620, 1.4493, 318, 448
1800, 1.6028, 3270, 4732, 1.5479, 324, 463
2000, 1.6284, 3270, 4776, 1.5758, 323, 467
