Epoch, Average Actor Loss, Critic Loss
0, -0.4642, 2.9361
1, 0.2715, 0.3091
2, 0.1007, 0.1917
3, 0.1522, 0.2025
4, -0.0011, 0.1009
5, -0.0215, 0.0866
6, -0.0184, 0.1492
7, -0.0621, 0.0315
8, -0.0035, 0.1203
9, -0.2468, 0.2042
10, -0.1266, 0.0688
11, -0.0854, 0.0629
12, 0.0018, 0.0042
13, 0.0312, 0.0348
14, 0.0378, 0.0557
15, 0.0648, 0.0751
16, 0.2534, 0.1722
17, 0.1205, 0.0194
18, 0.0483, 0.0383
19, -0.0529, 0.1249
20, -0.0215, 0.0539
21, -0.0259, 0.0310
22, -0.0875, 0.0878
23, -0.0855, 0.0873
24, -0.0012, 0.0029
25, -0.0424, 0.0310
26, -0.1204, 0.0987
27, -0.1545, 0.1467
28, -0.0001, 0.0310
29, 0.0060, 0.0578
30, 0.0061, 0.0584
31, 0.0572, 0.0358
32, 0.0598, 0.0412
33, 0.0228, 0.0742
34, 0.0245, 0.0802
35, 0.0939, 0.0106
36, -0.0224, 0.0781
37, -0.0166, 0.0781
38, -0.0252, 0.0801
39, 0.0648, 0.0059
40, -0.0400, 0.0836
41, -0.0340, 0.0598
42, 0.0220, 0.0016
43, -0.0528, 0.0812
44, -0.0409, 0.0565
45, -0.0069, 0.0278
46, -0.0527, 0.0769
47, 0.0080, 0.0268
48, 0.0372, 0.0027
49, -0.0149, 0.0522
50, -0.0070, 0.0498
51, -0.0002, 0.0522
52, 0.0573, 0.0046
53, -0.0074, 0.0534
54, 0.0311, 0.0021
55, 0.0130, 0.0310
56, -0.0566, 0.0805
57, -0.0091, 0.0293
58, -0.0431, 0.0581
59, -0.0347, 0.0760
60, -0.0011, 0.0516
61, -0.0287, 0.0808
62, 0.0596, 0.0054
63, -0.0221, 0.0790
64, -0.0237, 0.0753
65, 0.0466, 0.0339
66, 0.0627, 0.0046
67, 0.0221, 0.0539
68, -0.0073, 0.0599
69, 0.0559, 0.0042
70, -0.0207, 0.0593
71, -0.0845, 0.1001
72, -0.0249, 0.0556
73, -0.0172, 0.0516
74, 0.0080, 0.0307
75, -0.0198, 0.0538
76, 0.0181, 0.0264
77, 0.0252, 0.0288
78, 0.0365, 0.0313
79, 0.0044, 0.0572
80, 0.0433, 0.0039
81, 0.0010, 0.0256
82, -0.0135, 0.0244
83, -0.0106, 0.0291
84, -0.0608, 0.0579
85, 0.0241, 0.0021
86, -0.1145, 0.1227
87, -0.0994, 0.1213
88, -0.0063, 0.0618
89, 0.0209, 0.0549
90, 0.0438, 0.0591
91, 0.0767, 0.0354
92, 0.0700, 0.0353
93, 0.0959, 0.0109
94, -0.0009, 0.0782
95, 0.0479, 0.0035
96, 0.0038, 0.0276
97, -0.0455, 0.0564
98, -0.0608, 0.0524
99, -0.0219, 0.0013
100, -0.0676, 0.0557
101, -0.0486, 0.0317
102, -0.0239, 0.0276
103, -0.0812, 0.0744
104, -0.0631, 0.1010
105, 0.0127, 0.0286
106, 0.0091, 0.0563
107, 0.0060, 0.0753
108, 0.1018, 0.0112
109, 0.0140, 0.0947
110, 0.0737, 0.0332
111, 0.0179, 0.0758
112, 0.0574, 0.0337
113, -0.0274, 0.0941
114, 0.0737, 0.0071
115, -0.0168, 0.0526
116, 0.0278, 0.0021
117, -0.0341, 0.0534
118, -0.0660, 0.0789
119, -0.0522, 0.0510
120, -0.0982, 0.1007
121, 0.0130, 0.0020
122, -0.0277, 0.0559
123, 0.0201, 0.0285
124, 0.0256, 0.0234
125, 0.0398, 0.0296
126, 0.0140, 0.0538
127, -0.1024, 0.1359
128, -0.0017, 0.0667
129, 0.0846, 0.0089
130, 0.0892, 0.0104
131, 0.0434, 0.0283
132, -0.0097, 0.0555
133, 0.0020, 0.0253
134, -0.0142, 0.0284
135, 0.0082, 0.0018
136, -0.0264, 0.0294
137, -0.0108, 0.0016
138, -0.0609, 0.0545
139, -0.0636, 0.0548
140, -0.0205, 0.0285
141, 0.0173, 0.0016
142, -0.0052, 0.0258
143, -0.0622, 0.0931
144, 0.0515, 0.0055
145, -0.0463, 0.0943
146, -0.0258, 0.0739
147, 0.0062, 0.0739
148, 0.0596, 0.0319
149, 0.0385, 0.0483
150, -0.0302, 0.1058
151, 0.0659, 0.0317
152, 0.0398, 0.0511
153, -0.0242, 0.0855
154, 0.0518, 0.0314
155, -0.0055, 0.0709
156, 0.0289, 0.0264
157, 0.0123, 0.0243
158, -0.0820, 0.0972
159, -0.0209, 0.0520
160, -0.0282, 0.0625
161, 0.0286, 0.0285
162, -0.0081, 0.0545
163, 0.0157, 0.0288
164, 0.0169, 0.0291
